,aro_llm,cor_llm,marca_llm,tamanho_do_quadro_llm,genero_llm,tipo_llm,material_do_quadro_llm,modelo_llm,aro_de_roda_llm,numero_de_marchas_llm,tipo_de_suspensao_llm,recursos_llm,alimentacao_llm,potencia_do_motor_llm,tema_llm,modalidade_llm,tamanho_llm,peso_suportado_llm,adicional_llm,tipo_de_freio_llm,title
0,26,Branco,Gios,Não informado,Unissex,Freeride,Aluminio Alloy 6061,FRX,26,21,Suspensão,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Disco Mecanico,Bicicleta Gios FRX Freeride Aro 26 Freio a Disco 21 Velocidades Cambios Shimano  Gios Branco
1,29,Não informado,KSW,"15, 17, 19, 21",Não informado,MTB,Alumínio,XLT,29,21,Suspensão,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Disco,Bicicleta 29 KSW XLT 21 Marchas Freio a Disco Quadro Alumínio MTB
2,29,Não informado,KSW,Não informado,Não informado,Urbana,Alumínio,Não informado,29,2x9V,100mm com Travabr,Freio Hidráulico k7 e Trava,Não informado,Não informado,Não informado,Trilhas Leves e Medianas,Não informado,Não informado,Não informado,Disco Hidráulico,Bicicleta Aro 29 KSW 2x9V 18v Freio Hidráulico k7 e Trava
3,16,Não informado,Nathor,Não informado,Não informado,Não informado,Aço carbono,Capitão America,Não informado,Não informado,Não informado,"Rodinhas laterais, Limitador de giro do guidão, Freios v-brake, Mesa headset com regulagem de ângulo do guidão",Não informado,Não informado,Capitão America,Não informado,Não informado,30 kg,Não informado,V-brake,Bicicleta Aro 16 Capitão America Nathor com Rodinhas
4,16,Não informado,Free Action,Não informado,Não informado,Não informado,Aço Carbono,Kiss,16,Não informado,Não informado,"Freios V-Brake, maçaneta em Nylon, quadro em aço carbono, cestinha, manoplas anatômicas, cobre-corrente de plástico",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,V-Brake,Bicicleta Free Action Kiss Aro 16 com Freios V-brake
5,29,Não informado,KOG,Não informado,Não informado,Mountain Bike,Alumínio,Não informado,29,24,80mm de Cursor,Não informado,Não informado,Não informado,Não informado,Urbano,Não informado,Não informado,Não informado,Disco Hidráulico,Bicicleta Aro 29 KOG 24 Marcha Freio Disco Hidráulico
6,24,Não informado,FlexBikes,Não informado,Masculino,Não informado,Aço,Aero,Aero,Sem Marcha,Não informado,Kit Proteção,Não informado,Não informado,Não informado,Não informado,Não informado,56 kg,Rodinhas laterais não estão inclusas,V-brake,Bicicleta Masculina Aro 24 Aero + Kit Proteção Sem Marcha Freio V-brake
7,29,Não informado,KSW,Não informado,Não informado,MTB,alumínio,Cambios GTA,29,27,mecânica,Não informado,Não informado,Não informado,Não informado,Passeio,Não informado,Não informado,Não informado,Disco Hidráulica,Bicicleta Alum 29 KSW Cambios GTA 27 Vel Freio Disco Hidráulica
8,29,PretoVermelho,Absolute,Não informado,Não informado,Não informado,alumínio 6061,Nero 4,Não informado,12,com trava no ombro,"Kit Gta Rx de 1 x 12 velocidades, suspensão com trava no ombro, freios hidráulicos,  bike vai praticamente pronta mas precisamos tirar a roda dianteira pedais guidão e selim para embalar a bike na caixa recomendamos que seja feita uma montagem final por um técnico para que se precisar fazer alguma regulagem específica segue lista das peças que compõem a bike",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,"K7 1150, Freios Hidráulicos, Kit 1x12, Pneu com Faixa Bege",A disco hidráulicos,Bicicleta Aro 29 Absolute Nero 4 12v Garfo com Trava K7 11/50 Freios Hidráulicos Kit 1x12 Pneu com Faixa Bege - Preto/Vermelho
9,29,Não informado,Krw,Não informado,Não informado,MountainBike,Alumínio,S9,29,27,com Trava,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Hidráulico,Bicicleta Aro 29 Krw Alumínio 27 Velocidades Freio Hidráulico Suspensão com Trava MountainBike S9
10,29,Não informado,Dropp,Não informado,Não informado,Não informado,Alumínio,Z3,29,21,Suspensão,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Disco,Bicicleta Aro 29 Dropp Z3 21 Velocidades  Câmbio Shimano Freio a Disco
11,29,Não informado,KSW,Não informado,Não informado,MTB,Alumínio,XLT 12v,29,12,100mm,Freio Hidráulico,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Toda Absolute,Disco Hidráulico,Bicicleta Aro 29 KSW XLT 12v Freio Hidráulico Toda Absolute
12,29,Não informado,KOG,Não informado,Não informado,MTB,Alumínio,Não informado,29,12,80mm,Cabeamento Interno,Não informado,Não informado,Não informado,Urbano,Não informado,Não informado,Não informado,Hidráulico,Bicicleta Aro 29 MTB KOG 12 Velocidades Freios Hidráulicos
13,29,Não informado,Kls,Não informado,Não informado,Mountain Bike,Alumínio,King,Aero folha dupla,21,Com Suspensão,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,100Kg,Não informado,A Disco,Bicicleta Aro 29 Alumínio Kls King Freio A Disco Mtb 21 Marchas
14,29,Não informado,Audax,Não informado,Não informado,MTB,6061 T6,ADX 300,29,11,Ar,Cabeamento Interno,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Hidraulico,Bicicleta MTB Audax ADX 300 2022
15,29,Não informado,KOG,Não informado,Não informado,Mountain Bike,Alumínio,Não informado,29,21,80mm de Cursor,Não informado,Não informado,Não informado,Não informado,Urbana,Não informado,Não informado,Não informado,Disco Mecânico,Bike Aro 29 KOG 21 Marcha Cambio Shimano Torney Freio Disco
16,29,Não informado,KRW,Não informado,Não informado,Mountain Bike,Alumínio,KR5,29,27,Suspensão dianteira,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Disco,Bicicleta aro 29 KRW Alumínio 27 Velocidades Freio a Disco Suspensão dianteira Mountain Bike KR5
17,29,Não informado,TSW,Não informado,Não informado,MTB,Alumínio,Hurry,29,12,Suntour,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Hidráulico,Bicicleta tsw hurry aro 29 shimano deore 12v suspensão suntour
18,29,Não informado,Alfameq,Não informado,Não informado,24V,Alumínio,Não informado,29,24,100mm com Trava Remota No Guidão,Trava Guidão,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Disco Hidráulico,Bike 29 Alfameq 24V Shimano Acera Hidráulico K7 Trava Guidão
19,29,Não informado,KOG,Não informado,Não informado,MTB,Alumínio,Não informado,29,27,80mm Sem Trava,Não informado,Não informado,Não informado,Não informado,Urbano,Não informado,Não informado,Não informado,Disco,Bicicleta MTB Aro 29 KOG 27 Marcha Freio a Disco Cubos k7
20,20,Não informado,FlexBikes,Não informado,Masculino,Infantil,Aço,Aero,Aero,Não informado,Não informado,"Aro Aero, Freios V-brake, Rodinhas Laterais, Descanso Lateral Pézinho",Não informado,Não informado,Não informado,Passeio,Não informado,38 kg,Kit Passeio e Acelerador,V-brake,Bicicleta Infantil Masculina Aro 20 Aero + Kit Passeio e Acelerador
21,Não informado,Não informado,Gti,Não informado,Não informado,Mountain Bike,Alumínio 6061,mtb 21 velocidades,Não informado,21v,Yamada 100mm  ou Gts,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Disco,Bicicleta Mountain Bike GTI 21v Freio a Disco Kit Shimano
22,17x215,Não informado,Viper,Não informado,Não informado,Não informado,Não informado,Motard,Não informado,Não informado,Não informado,springback,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Aro Roda Moto Alumínio Esportivo 17x2.15 Motard Viper
23,26,Preto,Houston,Não informado,Feminina,Bicicleta,Aço carbono,Foxer Maori,Não informado,21,Não informado,"Guidão MTB curvo, sistema de freios V-Brake, caixa de direção MTB Standard, Manoplas Grip Shifter",Não informado,Não informado,Não informado,Passeio,Não informado,Não informado,Não informado,V-Brake,Bicicleta Aro 26 Houston Foxer Maori Freio V-Brake
24,Não informado,Rosa,Buba,Não informado,Não informado,Equilibrio,Não informado,4 Rodas,Não informado,Não informado,Não informado,Rodas duplas na frente e atras,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Bicicleta de Equilíbrio 4 Rodas Buba Rosa
25,Não informado,Vermelho,Zippy Toys,Não informado,Não informado,Andador,Aço Carbono,Andador Infantil Vermelho,Não informado,Não informado,Não informado,"Direção limitada a 135 graus, Pneus resistentes, Joelhos levemente dobrados, Estrutura em aço carbono, Quatro rodas, Sem parafusos expostos",Não informado,Não informado,Não informado,Não informado,Não informado,24Kg,Não informado,Não informado,Andador Infantil Bicicleta De Equilibrio Sem Pedal 4 Rodas Zippy Toys Quadriciclo Bebê Criança 24Kg Bike Passeio Vermelho
26,12,Azul,Nathor,Não informado,Infantil,Balance Bike,Não informado,Equilíbrio,Não informado,Não informado,Não informado,Selim PU,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Tambor,Bicicleta Infantil Nathor Equilíbrio - Balance Bike Azul - Selim PU
27,29,Não informado,Ksw,Não informado,Não informado,MTB,Alumínio,1x9v Shimano Hidráulico Trava K7 1140,29,9,Cursor de 100mm com trava no OMBRO,Não informado,Não informado,Não informado,Não informado,Trilha,Não informado,Não informado,Não informado,Hidraulico a Disco,Bicicleta Aro 29 Ksw 1x9v Shimano Hidráulico Trava K7 11/40
28,29,Não informado,KOG,Não informado,Não informado,Mountain Bike,Alumínio,Não informado,29,21,80mm,Cambio Indexado,Não informado,Não informado,Não informado,Urbano,Não informado,Não informado,Não informado,Disco Mecânico,Bicicleta Aro 29 KOG 21V Freio a Disco Cambio Indexado
29,12,Não informado,Nathor,Não informado,Feminino,infantil,aço carbono,Flower,12,Não informado,Não informado,"limitador de giro do guidão, freio a tambor, garrafinha, pneu em EVA, quadro, garfo e guidão em aço carbono, guidão com Sleeve, placa frontal, cores alegres, selim com regulagem e altura",Não informado,Não informado,Não informado,Não informado,Não informado,21 kg,Não informado,a tambor,Bicicleta Bike Para Criança 3 A 5 Anos Aro 12 Flower Nathor
30,12,Rosa,Biciquétinha,Não informado,Não informado,Equilíbrio,Madeira,Lousa,Não informado,Não informado,Não informado,"Banco com regulagem de altura, pneus de EVA, manoplas de borracha",Não informado,Não informado,Unicórnio,Não informado,Não informado,25 kg,Não informado,Não informado,Bicicleta De Equilíbrio Sem Pedal De Madeira Unicórnio Rosa
31,29,Não informado,Absolute,Não informado,Não informado,MTB,Alumínio,Nero 2 Alivio,29,27,100mm de Cursor com Trava no Ombro,Hidráulico e Trava,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Disco Hidráulico,Bicicleta MTB 29 Absolute Nero Alivio 27v Hidraulico e Trava
